observation_date,MKTGDPCOA646NWDB
1960-01-01,4031152976.63904
1961-01-01,4540447761.19403
1962-01-01,4955538218.81618
1963-01-01,4836166666.66667
1964-01-01,5973366666.66667
1965-01-01,5760761904.76190
1966-01-01,5428518518.51852
1967-01-01,5825170438.48704
1968-01-01,5960212869.12968
1969-01-01,6450175213.74923
1970-01-01,7198360460.19887
1971-01-01,7820380970.53674
1972-01-01,8671358732.68486
1973-01-01,10315760000.33940
1974-01-01,12370029583.64190
1975-01-01,13098633901.86730
1976-01-01,15341403660.46980
1977-01-01,19470960619.12970
1978-01-01,23263511958.05090
1979-01-01,27940411250.27320
1980-01-01,33400735644.04810
1981-01-01,36388366869.03090
1982-01-01,38968039721.74800
1983-01-01,38729822781.59970
1984-01-01,38253120737.96710
1985-01-01,34894419443.48810
1986-01-01,34942489683.97120
1987-01-01,36373307085.08870
1988-01-01,39212550050.42230
1989-01-01,39540080200.39380
1990-01-01,47844090709.99080
1991-01-01,49637993948.84020
1992-01-01,58394443377.54160
1993-01-01,66474101301.17590
1994-01-01,81705497616.57030
1995-01-01,92495970511.39510
1996-01-01,97153389010.94659
1997-01-01,106656492293.61400
1998-01-01,98486358581.16389
1999-01-01,86278947636.96201
2000-01-01,99875074951.02780
2001-01-01,98200641203.38921
2002-01-01,97945812802.88820
2003-01-01,94644969157.09869
2004-01-01,117092416666.24500
2005-01-01,145600529605.80301
2006-01-01,161792958904.86401
2007-01-01,206229540926.31201
2008-01-01,242504150472.93100
2009-01-01,232468663109.59500
2010-01-01,286498534094.96301
2011-01-01,334966134804.88702
2012-01-01,370691143018.03906
2013-01-01,382093697077.68494
2014-01-01,381240864422.40704
2015-01-01,293492370193.16602
2016-01-01,282720100286.22803
2017-01-01,311866875156.87903
2018-01-01,334198218098.27600
2019-01-01,323031701192.84003
2020-01-01,270348342541.46500
2021-01-01,318524633225.39502
2022-01-01,345329875078.51202
2023-01-01,363493841244.30304
